"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Slc7a14","transporter","Imports GABA into lysosomes; may sense lysosomal GABA to regulate mTORC2-INS signaling and gluconeogenesis; expressed in photoreceptors and hair cells","4-aminobutyrate (GABA), lysosomes","lysosomal membrane","retina (photoreceptors), cochlea (inner hair cells), brain (POMC neurons), liver","photoreceptors, inner hair cells, POMC neurons, hepatocytes","lysosomal GABA transport, mTORC2/insulin signaling, gluconeogenesis, sensory cell homeostasis","retinitis pigmentosa (rod/cone degeneration), sensorineural hearing loss (absent inner hair cell stereocilia)","moderate-severe","absent inner hair cells, sensorineural deafness, retinal degeneration","expressed in retina and cochlea; KO causes retinal degeneration and hearing loss",NA,NA,"retinitis pigmentosa (arRP), sensorineural hearing loss",NA,"Lysosomal GABA transporter whose loss causes retinitis pigmentosa and sensorineural hearing loss; also regulates mTORC2/insulin signaling in liver POMC neurons"
"Cyp4v3","enzyme","Omega/omega-1 hydroxylation of saturated fatty acids; metabolizes lipids in retinal pigment epithelium; mouse ortholog of human CYP4V2","saturated fatty acids (lauric, myristic), fatty acyl-CoAs","ER membrane (microsomal)","retina/RPE (high), liver, macrophages","retinal pigment epithelial cells, macrophages, hepatocytes","omega fatty acid metabolism, lipid clearance in RPE, Nrf2/oxidative stress response","abnormal retina, RPE, choroid; retinal deposits; liver abnormalities; hyperactivity; preweaning lethality (incomplete)","moderate-severe (retinal/hepatic)",NA,NA,"colorectal cancer (CYP4V2 expression)","fatty acid omega-hydroxylation relevant to lipid-driven tumor biology","Bietti crystalline dystrophy (CYP4V2/Cyp4v3; RPE lipid accumulation and crystalline deposits)",NA,"Mouse ortholog of CYP4V2 that metabolizes fatty acids in the retinal pigment epithelium; mutations cause Bietti crystalline dystrophy with progressive retinal degeneration"
"Igsf5","adhesion molecule","homophilic cell adhesion; tight junction formation",NA,"plasma membrane; tight junctions","kidney; testis; small intestine","epithelial cells; Sertoli cells; spermatogonia","tight junction signaling; cell adhesion","no abnormal phenotype detected","none","none",NA,"HNSCC (weak association)",NA,NA,"epithelial barrier maintenance","IgSF tight junction adhesion protein mediating calcium-independent homophilic adhesion; partners with MAGI1 at TJs in kidney and intestine"
"Itgb7","adhesion molecule","heterodimeric integrin signaling; lymphocyte homing","MADCAM1; VCAM1; fibronectin; E-cadherin","plasma membrane","gut; lymphoid tissue; uterus","lymphocytes; NK cells; dendritic cells; mast cells","integrin signaling; lymphocyte trafficking; GALT homing","abnormal immune physiology; decreased B/T cells; small Peyer patches; increased infection susceptibility","moderate","none",NA,"multiple myeloma","promotes cell-adhesion mediated drug resistance in high-risk MM",NA,"immune cell differentiation and gut homing","Integrin beta-7 subunit mediating lymphocyte migration to gut-associated lymphoid tissue via MADCAM1 and fibronectin interactions"
"Fndc5","secreted factor","proteolytic cleavage to irisin; UCP1 induction; browning of white adipose tissue","PPARA; UCP1","plasma membrane; secreted","muscle; adipose; brain","myocytes; adipocytes; neurons","PGC1-alpha signaling; thermogenesis; AMPK/metabolism","abnormal bone; obesity susceptibility; impaired autophagy; abnormal fatty acid oxidation","moderate","abnormal behavior; cognitive effects","irisin promotes neurogenesis and neuroprotection",NA,"tumor suppressor role reported","neurodegeneration (Parkinson; Alzheimer - neuroprotective irisin)","exercise-induced myokine precursor; promotes adipocyte browning and bone metabolism",""
"Dlgap1","scaffold/adaptor","postsynaptic density scaffolding; links SHANK to MAGUKs","SHANK; PSD-95 complex; glutamate receptor complexes","postsynaptic density; nucleus","brain","neurons; postsynaptic terminals","glutamatergic synapse; OCD/autism-related signaling","abnormal emotion/affect; hyperactivity; increased grooming; microphthalmia; small adrenal glands","moderate","hyperactivity; stereotypy; altered social behavior",NA,"cholangiocarcinoma; glioma (DLGAP1-AS2 lncRNA)","prognostic via antisense lncRNA","autism spectrum disorder; OCD; schizophrenia (GWAS)","postsynaptic scaffold linking SHANK complexes; loss causes OCD/autism-like behaviors in mice",""
"Bcan","ECM protein","stabilizes hyaluronan-proteoglycan interactions; perineuronal net organization","hyaluronan; tenascin-R; brevican complex","extracellular matrix; perineuronal nets","brain; CNS","neurons; astrocytes; oligodendrocytes","ECM/perineuronal net assembly; synaptic plasticity","abnormal LTP; abnormal hippocampus morphology","mild","impaired hippocampal LTP","enriched in cerebellum and brain ECM; major brain proteoglycan","glioma (expressed in GBM)","promotes invasion in glioma","ASD (hippocampal ECM changes)","Brain-specific brevican/BCAN stabilizes perineuronal nets and hyaluronan-aggrecan interactions; KO impairs hippocampal LTP",""
"Hapln4","ECM protein","perineuronal net organization; stabilizes BCAN localization in brainstem/cerebellum; regulates GABAergic synapse formation","brevican; versican; hyaluronan; aggrecan","extracellular matrix; perineuronal nets","brainstem; cerebellum","neurons; Purkinje cells; deep cerebellar nuclei neurons","perineuronal net assembly; inhibitory synapse formation; ECM remodeling","abnormal neuron morphology; decreased CNS synapse formation","moderate","decreased synapse formation; cerebellar circuit defects","essential for PNN formation in cerebellum; regulates Purkinje-to-DCN inhibitory synapses",NA,NA,"essential tremor (candidate gene)","cartilage link protein essential for PNN formation in brainstem/cerebellum; required for GABAergic synapse formation between Purkinje cells and deep cerebellar nuclei",""
"Col20a1","ECM protein","extracellular matrix structural support; perisynaptic organization at NMJ",NA,"extracellular matrix; perisynaptic space","neuromuscular junction; Schwann cells","perisynaptic Schwann cells; glia","ECM assembly; NMJ organization","no abnormal phenotype detected (global and Schwann-specific KO have normal NMJ morphology)","none","NMJ morphology normal in KO","enriched in perisynaptic Schwann cells at NMJ","brain tumor-initiating cells (marker)",NA,NA,"extracellular matrix structural collagen at NMJ; expressed in perisynaptic Schwann cells",""
"Madcam1","adhesion molecule","lymphocyte adhesion and homing to gut mucosa; binds alpha4-beta7 integrin and L-selectin","ITGA4/ITGB7; L-selectin","plasma membrane; endothelial surface","gut mucosal vasculature; Peyer patches; intestinal lamina propria","endothelial cells; venular endothelium","lymphocyte trafficking; mucosal immunity; IBD pathogenesis","abnormal B cell physiology; decreased IgA; small Peyer patches","moderate","none",NA,NA,NA,"IBD; Crohn disease; ulcerative colitis (therapeutic target)","endothelial addressin directing lymphocyte homing to gut via LPAM-1; therapeutic target in IBD",""
"Serpina3n","protease","serine protease inhibitor; modulates neuroinflammation; inhibits cathepsin G/chymase-like proteases","serine proteases; inflammatory mediators","secreted; extracellular","liver; brain; serum","hepatocytes; astrocytes; microglia","neuroinflammation; acute phase response; protease inhibition","hyperresponsive to touch; allodynia; abnormal pain threshold","mild","hyperalgesia; allodynia","upregulated in brain inflammation; expressed in postnatal CNS development; astrocyte marker",NA,NA,"Alzheimer disease; MS; neuroinflammation; pain sensitization","secreted serine protease inhibitor upregulated during neuroinflammation; KO causes allodynia and tactile hypersensitivity",""
"Papln","ECM protein","extracellular matrix organization; regulation of ADAMTS protease activity","ADAMTS proteases; ECM components","extracellular matrix; secreted","multiple tissues; eye; tooth",NA,"ECM remodeling; ADAMTS regulation","NA (no KO data)",NA,NA,NA,"ovarian cancer; breast cancer (expression data)","NA (expression correlations only)","spinal cord injury response (developmental regulation)","Papilin is an ADAMTSL-family secreted proteoglycan-like glycoprotein that regulates ADAMTS protease activity and ECM organization",""
"Marveld2","structural protein","tricellular tight junction formation; hearing; epithelial barrier","claudin; occludin; angulin complex","tricellular tight junctions","inner ear; epithelium; cochlea","hair cells; epithelial cells; cochlear cells","tight junction assembly; epithelial barrier; hearing physiology","deafness; cochlear hair cell degeneration; increased body/organ weights; abnormal stria vascularis","severe","deafness; cochlear degeneration","essential for cochlear tight junctions and hearing; KO causes deafness",NA,NA,"non-syndromic hearing loss DFNB49","tricellular tight junction protein (tricellulin) essential for cochlear endolymph-perilymph separation and hearing",""
"Rgs7bp","channel regulator","regulates R7-Gbeta5 RGS complex subcellular localization; palmitoylation-dependent plasma membrane targeting; protects R7 proteins from degradation","RGS7; RGS9; RGS11; Gbeta5; G-protein alpha subunits","plasma membrane; nucleus; cytoplasm","brain; nervous system","neurons; sensory neurons","GPCR signaling; G-protein deactivation; RGS7/9/11 regulation","no abnormal phenotype detected","none","none",NA,NA,NA,"epilepsy (translocation); asthma (AERD association)","palmitoylated scaffold that anchors R7-family RGS complexes to the plasma membrane to tune GPCR signal termination",""
"Gdf10","secreted factor","TGF-beta/BMP superfamily signaling; inhibits osteoblast differentiation; inhibits adipogenesis; promotes axonal sprouting after stroke","SMAD2/3; SMAD1/5/8; BMPR receptors","secreted; extracellular","bone; adipose; brain; muscle","osteoblasts; adipocytes; neurons; myoblasts","TGF-beta/BMP signaling; SMAD2/3; axonal sprouting; osteogenesis","abnormal kidney; decreased locomotor activity; increased bilirubin","mild","decreased locomotor activity; axonal sprouting regulator","induces axonal sprouting after stroke in peri-infarct neurons; conserved in mouse/primate/human","breast cancer; oral SCC; liver HCC; lung cancer","tumor suppressor; downregulated in multiple cancers","stroke recovery (axonal sprouting)","promotes myoblast/osteoblast differentiation inhibition","BMP3b/GDF10 is a TGF-beta superfamily member that inhibits osteoblast differentiation via SMAD2/3 and triggers axonal sprouting after stroke"
"Nptxr","receptor","AMPA receptor clustering at excitatory synapses; synaptic material uptake during remodeling; interacts with neuronal pentraxins NPTX1/2","AMPA receptors; NPTX1; NPTX2","plasma membrane; synaptic","brain; CNS","neurons; excitatory synapses","excitatory synapse organization; AMPA receptor clustering; synapse remodeling","abnormal innervation","mild","abnormal innervation","expressed in cerebellum (CSF biomarker studies); used as synaptic health biomarker","ependymoma (expression marker)",NA,"FTD; ALS; Alzheimer disease; normal pressure hydrocephalus (CSF biomarker)","transmembrane neuronal pentraxin receptor that clusters AMPA receptors at excitatory synapses; CSF levels reflect synaptic health in neurodegeneration",""
"Endou","enzyme","endoribonuclease cleaving single-stranded RNA at uridylates; mRNA decay regulation; innate immune evasion by viral Nsp15 homologs","single-stranded RNA; mRNA; viral RNA","cytoplasm; ER","kidney; retina; multiple tissues","epithelial cells; neurons","RNA turnover; innate immune response; viral pathogenesis","abnormal retina morphology","mild","abnormal retina",NA,"HNSCC; cervical cancer (expression)","NA (expression associations)",NA,"RNA endonuclease regulating mRNA stability by cleaving at polyU sites; viral homolog Nsp15 evades innate immunity",""
"Itgb5","adhesion molecule","heterodimeric integrin signaling with alphaV; RGD-ligand binding; cell-matrix adhesion; phagocytosis","fibronectin; vitronectin; RGD-containing ECM proteins","plasma membrane; focal adhesions","ubiquitous; retina; skin; brain","fibroblasts; endothelial cells; epithelial cells; phagocytes","integrin signaling; FAK/PI3K; phagocytosis; ECM adhesion","abnormal keratinocyte differentiation; abnormal retina; increased leukocytes","mild","abnormal retina morphology",NA,"glioblastoma; gastric cancer; cervical cancer; multiple cancers","promotes invasion; angiogenesis; drug resistance; overexpressed in GBM","MS (OPC differentiation)","roles in embryonic ICM/TE lineage specification and keratinocyte differentiation","AlphaV-beta5 integrin receptor for fibronectin/vitronectin mediating cell-ECM adhesion; implicated in phagocytosis and cancer invasion"
"Rbfox3","other","pre-mRNA alternative splicing regulation; promotes NMD of RBFOX2 isoforms; neuronal splicing regulator","pre-mRNA; RBFOX2 mRNA; NMD substrates","nucleus; cytoplasm","brain; neurons","neurons; GABAergic interneurons; granule cells","alternative splicing; NMD; neuronal differentiation; synaptogenesis","seizure susceptibility; decreased brain weight; impaired LTD; abnormal synaptic transmission; abnormal memory; decreased neuronal precursors","severe","seizures; impaired memory; reduced brain weight; abnormal synapse","NeuN marker of mature neurons; expressed in cerebellar granule cells","HCC; medulloblastoma (expression)","NeuN/RBFOX3 loss correlates with chemosensitivity in HCC","epilepsy; autism; cognitive impairment; neurodevelopmental disorders","Neuron-specific RNA-binding splicing factor (NeuN) essential for neuronal differentiation, synaptogenesis and seizure threshold; KO causes epilepsy and cognitive deficits",""
